arrivee, depart 
15.652406, 15.865294
16.780518, 21.144688
20.462873, 21.396208
25.590099, 36.216523
26.316836, 37.234531
34.533717, 39.451340
43.398483, 44.123559
45.493668, 51.188402
47.614541, 64.754833
50.812125, 68.568308
64.077257, 77.614370
73.848379, 85.479999
75.421647, 93.209075
80.721141, 94.072208
81.726840, 98.976151
88.931521, 99.180902
118.803210, 123.665930
132.080534, 134.584928
132.892979, 148.014578
138.019877, 155.231804
139.279199, 156.397187
143.891070, 178.193218
144.664138, 0.000000
145.800606, 0.000000
156.062895, 0.000000
159.995152, 0.000000
